Error	Name
0	1-UpCCGSD
0.36622	1-UpCCGSD
0.06104	1-UpCCGSD
0.12207	1-UpCCGSD
0.06104	1-UpCCGSD
0.54931	1-UpCCGSD
-0.24414	1-UpCCGSD
-0.12207	1-UpCCGSD
0.61035	1-UpCCGSD
1.40381	1-UpCCGSD
0.79346	1-UpCCGSD
0.79345	1-UpCCGSD
1.34277	1-UpCCGSD
0.06103	1-UpCCGSD
0.1831	1-UpCCGSD
-0.48828	1-UpCCGSD
0.42724	1-UpCCGSD
0.24414	1-UpCCGSD
0.18311	1-UpCCGSD
0.18311	1-UpCCGSD
0.06104	1-UpCCGSD
0.06104	1-UpCCGSD
0.12207	1-UpCCGSD
0.12207	1-UpCCGSD
0.24415	1-UpCCGSD
0	1-UpCCGSD
0.24414	1-UpCCGSD
0.61035	1-UpCCGSD
1.15967	1-UpCCGSD
0.97656	1-UpCCGSD
-1.40381	1-UpCCGSD
-0.36621	1-UpCCGSD
0.36621	1-UpCCGSD
1.46484	1-UpCCGSD
0.97656	1-UpCCGSD
-0.06104	1-UpCCGSD
0.61035	1-UpCCGSD
-0.30518	1-UpCCGSD
0.85449	1-UpCCGSD
0.12207	1-UpCCGSD
0.36621	1-UpCCGSD
0.42725	1-UpCCGSD
0.36622	1-UpCCGSD
0.06104	1-UpCCGSD
0.18311	1-UpCCGSD
0	1-UpCCGSD
0.06104	1-UpCCGSD
0.30518	1-UpCCGSD
0.12207	1-UpCCGSD
0.12207	1-UpCCGSD
0.06104	1-UpCCGSD
0.1831	1-UpCCGSD
0.06103	1-UpCCGSD
0.12207	1-UpCCGSD
1.58691	1-UpCCGSD
2.4414	1-UpCCGSD
-0.24414	1-UpCCGSD
0.67138	1-UpCCGSD
-0.12207	1-UpCCGSD
0	1-UpCCGSD
-0.24414	1-UpCCGSD
0.48828	1-UpCCGSD
0.36621	1-UpCCGSD
0.36621	1-UpCCGSD
0.36621	1-UpCCGSD
0.42725	1-UpCCGSD
0.12207	1-UpCCGSD
0.18311	1-UpCCGSD
0.06103	1-UpCCGSD
0.06104	1-UpCCGSD
0.18311	1-UpCCGSD
0.24414	1-UpCCGSD
-0.12207	1-UpCCGSD
0.24414	1-UpCCGSD
0.85449	1-UpCCGSD
0.85449	1-UpCCGSD
0.73242	1-UpCCGSD
0.73242	1-UpCCGSD
-1.28174	1-UpCCGSD
-0.12207	1-UpCCGSD
0.06103	1-UpCCGSD
0.79345	1-UpCCGSD
-0.42725	1-UpCCGSD
-1.34277	1-UpCCGSD
0.67139	1-UpCCGSD
0.24414	1-UpCCGSD
0.1831	1-UpCCGSD
0.06104	1-UpCCGSD
0.18311	1-UpCCGSD
0.18311	1-UpCCGSD
0.12207	1-UpCCGSD
0.06103	1-UpCCGSD
0.12207	1-UpCCGSD
0.36622	1-UpCCGSD
